"National Natural Science Foundation of China-Zhejiang Joint Fund for the Integration of Industrialization and Informatization","6"
"National Research Foundation","6"
"National Science and Technology Development Agency","6"
"Natural Science Foundation of Hebei Province","6"
"Science and Technology Department of Zhejiang Province","6"
"U.S. Department of Agriculture","6"
"University Grants Commission","6"
"Consejo Nacional de Ciencia y Tecnología","5"
"Department of Biotechnology, Ministry of Science and Technology, India","5"
"Deutsche Forschungsgemeinschaft","5"
"Ministerio de Economía y Competitividad","5"
"Ministry of Education, India","5"
"Ministério da Ciência, Tecnologia e Inovação","5"
"National Basic Research Program of China (973 Program)","5"
"Seventh Framework Programme","5"
"Türkiye Bilimsel ve Teknolojik Araştirma Kurumu","5"
"Universiti Putra Malaysia","5"
"University Grants Committee","5"
"Agence Nationale de la Recherche","4"
"Basic Energy Sciences","4"
"Directorate for Engineering","4"
"Ferdowsi University of Mashhad","4"
"Guangdong Key Laboratory of Efficient and Clean Energy Utilization, South China University of Technology","4"
"Horizon 2020","4"
"Kasetsart University Research and Development Institute","4"
"Key Technologies Research and Development Program","4"
"Ministry of New and Renewable Energy India","4"
"Ministry of Science and Technology, Taiwan","4"
"National Metal and Materials Technology Center","4"
"National Renewable Energy Laboratory","4"
"Natural Science Foundation of Henan Province","4"
"Royal Society","4"
"South China University of Technology","4"
"U.S. Department of Transportation","4"
"Carlsbergfondet","3"
"Center of Excellence on Petrochemical and Materials Technology","3"
"Chulalongkorn University","3"
"Deanship of Scientific Research, King Faisal University","3"
"Department of Biotechnology, Government of West Bengal","3"
"Department of Education of Hebei Province","3"
"Fundação de Amparo à Pesquisa do Estado de Minas Gerais","3"
"Henan University","3"
"Higher Education Discipline Innovation Project","3"
"Ministry of Education, Culture, Sports, Science and Technology","3"
"Ministry of Environment","3"
"Ministry of Science and ICT, South Korea","3"
"Mitacs","3"
"Nanjing Agricultural University","3"
"National Nanotechnology Center","3"
"Natural Science Foundation of Guangdong Province","3"
"Primary Research and Development Plan of Zhejiang Province","3"
"RUDN University","3"
"Recruitment Program of Global Experts","3"
"Science and Technology Commission of Shanghai Municipality","3"
"Specialized Research Fund for the Doctoral Program of Higher Education of China","3"
"Tezpur University","3"
"University of Queensland","3"
"University of Tehran","3"
"Vidyasirimedhi Institute of Science and Technology","3"
"Agentúra na Podporu Výskumu a Vývoja","2"
"American Chemical Society Petroleum Research Fund","2"
"Banaras Hindu University","2"
"BioFuelNet Canada","2"
"Biological and Environmental Research","2"
"Center of Excellence for Innovation in Chemistry","2"
"Centro Nacional de Pesquisa em Energia e Materiais","2"
"Changjiang Scholar Program of Chinese Ministry of Education","2"
"Chiang Mai University","2"
"Consejo Nacional de Ciencia y Tecnología, Guatemala","2"
"Department of Science and Technology","2"
"Department of Science and Technology of Shandong Province","2"
"Department of Science and Technology, Government of West Bengal","2"
"Education Department of Jiangxi Province","2"
"Eidgenössische Technische Hochschule Zürich","2"
"Energimyndigheten","2"
"European Cooperation in Science and Technology","2"
"European Social Fund","2"
"European Synchrotron Radiation Facility","2"
"Euskal Herriko Unibertsitatea","2"
"Eusko Jaurlaritza","2"
"Fundação de Amparo à Pesquisa do Estado do Amazonas","2"
"Gorgan University of Agricultural Sciences and Natural Resources","2"
"Government of Jiangsu Province","2"
"Graduate School, University of Oregon","2"
"Guangdong Provincial Pearl River Talents Program","2"
"Guangdong Science and Technology Department","2"
"Guizhou Science and Technology Department","2"
"Guizhou University","2"
"H2020 Marie Skłodowska-Curie Actions","2"
"Higher Education Commision, Pakistan","2"
"Higher Education Commission, Pakistan","2"
"Hunan Provincial Innovation Foundation for Postgraduate","2"
"Indian Institute of Technology Bombay","2"
"Indian Institute of Technology Kharagpur","2"
"Indian Institute of Technology Roorkee","2"
"Institute of Research and Development, Rajamangala University of Technology Thanyaburi","2"
"Iran's National Elites Foundation","2"
"Islamic Azad University","2"
"Istanbul Üniversitesi","2"
"Japan Society for the Promotion of Science","2"
"Javna Agencija za Raziskovalno Dejavnost RS","2"
"Junta de Andalucía","2"
"Kementerian Sains, Teknologi dan Inovasi","2"
"Key Technology Research and Development Program of Shandong","2"
"Khalifa University of Science, Technology and Research","2"
"King Abdulaziz University","2"
"Korea Institute of Energy Technology Evaluation and Planning","2"
"Kumoh National Institute of Technology","2"
"Laboratory Directed Research and Development","2"
"Laboratório Nacional de Nanotecnologia","2"
